,ts_code,symbol,name,area,industry,list_date
2941,600372.SH,600372,中航电子,北京,航空,20010706
2942,600373.SH,600373,中文传媒,江西,出版业,20020304
2943,600375.SH,600375,汉马科技,安徽,汽车整车,20030401
2944,600376.SH,600376,首开股份,北京,区域地产,20010312
2945,600377.SH,600377,宁沪高速,江苏,路桥,20010116
2946,600378.SH,600378,昊华科技,四川,化工原料,20010111
2947,600379.SH,600379,宝光股份,陕西,电气设备,20020116
2948,600380.SH,600380,健康元,深圳,化学制药,20010608
2949,600381.SH,600381,青海春天,青海,医疗保健,20010508
2950,600382.SH,600382,ST广珠,广东,普钢,20010118
2951,600383.SH,600383,金地集团,深圳,全国地产,20010412
2952,600386.SH,600386,北巴传媒,北京,汽车服务,20010216
2953,600387.SH,600387,ST海越,浙江,石油贸易,20040218
2954,600388.SH,600388,ST龙净,福建,环境保护,20001229
2955,600389.SH,600389,江山股份,江苏,农药化肥,20010110
2956,600390.SH,600390,五矿资本,湖南,多元金融,20010115
2957,600391.SH,600391,航发科技,四川,航空,20011212
2958,600392.SH,600392,盛和资源,四川,小金属,20030529
2959,600393.SH,600393,粤泰股份,广东,全国地产,20010319
2960,600395.SH,600395,盘江股份,贵州,煤炭开采,20010531
2961,600396.SH,600396,金山股份,辽宁,火力发电,20010328
2962,600397.SH,600397,安源煤业,江西,煤炭开采,20020702
2963,600398.SH,600398,海澜之家,江苏,服饰,20001228
2964,600399.SH,600399,抚顺特钢,辽宁,特种钢,20001229
2965,600400.SH,600400,红豆股份,江苏,服饰,20010108
2966,600403.SH,600403,大有能源,河南,煤炭开采,20031009
2967,600405.SH,600405,动力源,北京,电气设备,20040401
2968,600406.SH,600406,国电南瑞,江苏,电气设备,20031016
2969,600408.SH,600408,安泰集团,山西,焦炭加工,20030212
2970,600409.SH,600409,三友化工,河北,化纤,20030618
2971,600410.SH,600410,华胜天成,北京,软件服务,20040427
2972,600415.SH,600415,小商品城,浙江,商品城,20020509
2973,600416.SH,600416,湘电股份,湖南,电气设备,20020718
2974,600418.SH,600418,江淮汽车,安徽,汽车整车,20010824
2975,600419.SH,600419,天润乳业,新疆,乳制品,20010628
2976,600420.SH,600420,国药现代,上海,化学制药,20040616
2977,600421.SH,600421,华嵘控股,湖北,专用机械,20040607
2978,600422.SH,600422,昆药集团,云南,中成药,20001206
2979,600423.SH,600423,柳化股份,广西,农药化肥,20030717
2980,600425.SH,600425,青松建化,新疆,水泥,20030724
2981,600426.SH,600426,华鲁恒升,山东,农药化肥,20020620
2982,600428.SH,600428,中远海特,广东,水运,20020418
2983,600429.SH,600429,三元股份,北京,乳制品,20030915
2984,600433.SH,600433,冠豪高新,广东,造纸,20030619
2985,600435.SH,600435,北方导航,北京,专用机械,20030704
2986,600436.SH,600436,片仔癀,福建,中成药,20030616
2987,600438.SH,600438,通威股份,四川,电气设备,20040302
2988,600439.SH,600439,瑞贝卡,河南,服饰,20030710
2989,600444.SH,600444,国机通用,安徽,专用机械,20040219
2990,600446.SH,600446,金证股份,深圳,软件服务,20031224
2991,600448.SH,600448,华纺股份,山东,纺织,20010903
2992,600449.SH,600449,宁夏建材,宁夏,水泥,20030829
2993,600452.SH,600452,涪陵电力,重庆,水力发电,20040303
2994,600455.SH,600455,博通股份,陕西,文教休闲,20040329
2995,600456.SH,600456,宝钛股份,陕西,小金属,20020412
2996,600458.SH,600458,时代新材,湖南,塑料,20021219
2997,600459.SH,600459,贵研铂业,云南,小金属,20030516
2998,600460.SH,600460,士兰微,浙江,半导体,20030311
2999,600461.SH,600461,洪城环境,江西,水务,20040601
3000,600462.SH,600462,ST九有,湖北,广告包装,20030903
3001,600463.SH,600463,空港股份,北京,园区开发,20040318
3002,600466.SH,600466,蓝光发展,四川,区域地产,20010212
3003,600467.SH,600467,好当家,山东,渔业,20040405
3004,600468.SH,600468,百利电气,天津,电气设备,20010615
3005,600469.SH,600469,风神股份,河南,汽车配件,20031021
3006,600470.SH,600470,六国化工,安徽,农药化肥,20040305
3007,600475.SH,600475,华光环能,江苏,环境保护,20030721
3008,600476.SH,600476,湘邮科技,湖南,软件服务,20031210
3009,600477.SH,600477,杭萧钢构,浙江,钢加工,20031110
3010,600478.SH,600478,科力远,湖南,元器件,20030918
3011,600479.SH,600479,千金药业,湖南,中成药,20040312
3012,600480.SH,600480,凌云股份,河北,汽车配件,20030815
3013,600481.SH,600481,双良节能,江苏,机械基件,20030422
3014,600482.SH,600482,中国动力,河北,船舶,20040714
3015,600483.SH,600483,福能股份,福建,火力发电,20040531
3016,600486.SH,600486,扬农化工,江苏,农药化肥,20020425
3017,600487.SH,600487,亨通光电,江苏,通信设备,20030822
3018,600488.SH,600488,天药股份,天津,化学制药,20010618
3019,600489.SH,600489,中金黄金,北京,黄金,20030814
3020,600490.SH,600490,鹏欣资源,上海,铜,20030626
3021,600491.SH,600491,龙元建设,浙江,建筑工程,20040524
3022,600493.SH,600493,凤竹纺织,福建,纺织,20040421
3023,600495.SH,600495,晋西车轴,山西,运输设备,20040526
3024,600496.SH,600496,精工钢构,安徽,钢加工,20020605
3025,600497.SH,600497,驰宏锌锗,云南,铅锌,20040420
3026,600498.SH,600498,烽火通信,湖北,通信设备,20010823
3027,600499.SH,600499,科达制造,广东,专用机械,20021010
3028,600500.SH,600500,中化国际,上海,塑料,20000301
3029,600501.SH,600501,航天晨光,江苏,汽车配件,20010615
3030,600502.SH,600502,安徽建工,安徽,建筑工程,20030415
3031,600503.SH,600503,华丽家族,上海,区域地产,20020709
3032,600505.SH,600505,西昌电力,四川,水力发电,20020530
3033,600506.SH,600506,香梨股份,新疆,化工原料,20011226
